지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),적설(cm)
155,창원,2021-11-26 00:00,9.1,,1.7,20,50,,
155,창원,2021-11-26 01:00,7.8,,.9,20,52,,
155,창원,2021-11-26 02:00,7.4,,1.5,360,49,,
155,창원,2021-11-26 03:00,7,,1.6,340,48,,
155,창원,2021-11-26 04:00,6.5,,1.6,20,48,,
155,창원,2021-11-26 05:00,6.1,,1.4,20,49,,
155,창원,2021-11-26 06:00,5.7,,4.2,50,50,,
155,창원,2021-11-26 07:00,5.3,,3.5,50,53,,
155,창원,2021-11-26 08:00,5.6,,5.1,50,53,.6,
155,창원,2021-11-26 09:00,5.9,,4.3,50,51,1,
155,창원,2021-11-26 10:00,6.8,,5,50,40,1,
155,창원,2021-11-26 11:00,8.5,,3.5,50,28,1,
155,창원,2021-11-26 12:00,9.6,,3,70,25,1,
155,창원,2021-11-26 13:00,10.8,,2.5,50,25,1,
155,창원,2021-11-26 14:00,10.9,,2.4,50,24,1,
155,창원,2021-11-26 15:00,11.2,,1.9,50,25,1,
155,창원,2021-11-26 16:00,11.1,,1.8,50,24,1,
155,창원,2021-11-26 17:00,10,,.7,290,27,.2,
155,창원,2021-11-26 18:00,8.9,,.8,270,29,0,
155,창원,2021-11-26 19:00,7.8,,.5,230,31,,
155,창원,2021-11-26 20:00,8.4,,.8,180,31,,
155,창원,2021-11-26 21:00,7.4,,1,200,35,,
155,창원,2021-11-26 22:00,6.1,,.2,0,39,,
155,창원,2021-11-26 23:00,5.9,,0,0,43,,
155,창원,2021-11-27 00:00,5.7,,.3,0,48,,
155,창원,2021-11-27 01:00,4.5,,.3,0,51,,
155,창원,2021-11-27 02:00,4.6,,.2,0,52,,
155,창원,2021-11-27 03:00,4,,.1,0,62,,
155,창원,2021-11-27 04:00,4,,.7,320,61,,
155,창원,2021-11-27 05:00,3.6,,.4,0,64,,
155,창원,2021-11-27 06:00,2.9,,.5,70,66,,
155,창원,2021-11-27 07:00,3.3,,.6,340,63,,
155,창원,2021-11-27 08:00,3.9,,.1,0,64,.6,
155,창원,2021-11-27 09:00,5.5,,2.5,50,54,1,
155,창원,2021-11-27 10:00,6.9,,1.6,20,45,1,
155,창원,2021-11-27 11:00,7.9,,1.1,20,40,1,
155,창원,2021-11-27 12:00,9,,2.2,50,32,1,
155,창원,2021-11-27 13:00,9.8,,2.4,50,30,1,
155,창원,2021-11-27 14:00,11.2,,.8,50,26,1,
155,창원,2021-11-27 15:00,11.2,,.8,340,20,1,
155,창원,2021-11-27 16:00,11,,1.1,360,18,1,
155,창원,2021-11-27 17:00,8.3,,.8,200,36,.2,
155,창원,2021-11-27 18:00,7.5,,1,270,42,0,
155,창원,2021-11-27 19:00,7.2,,1.1,270,44,,
155,창원,2021-11-27 20:00,5.7,,.2,0,50,,
155,창원,2021-11-27 21:00,6.1,,.4,0,54,,
155,창원,2021-11-27 22:00,5,,.8,360,63,,
155,창원,2021-11-27 23:00,4.8,,.7,340,60,,
155,창원,2021-11-28 00:00,4.7,,1.5,360,64,,
155,창원,2021-11-28 01:00,4.4,,.7,290,59,,
155,창원,2021-11-28 02:00,3.8,,1.3,360,61,,
155,창원,2021-11-28 03:00,3.5,,1.6,340,57,,
155,창원,2021-11-28 04:00,2.5,,.6,340,62,,
155,창원,2021-11-28 05:00,2.7,,1.6,340,56,,
155,창원,2021-11-28 06:00,2.1,,1.3,20,64,,
155,창원,2021-11-28 07:00,1.4,,.9,20,63,,
155,창원,2021-11-28 08:00,2.6,,1.3,50,58,.6,
155,창원,2021-11-28 09:00,4.3,,1.2,20,52,1,
155,창원,2021-11-28 10:00,6.2,,1.1,20,46,1,
155,창원,2021-11-28 11:00,8.2,,1.2,360,43,1,
155,창원,2021-11-28 12:00,10.5,,1.6,360,38,1,
155,창원,2021-11-28 13:00,12.8,,1.4,90,38,1,
155,창원,2021-11-28 14:00,13.1,,1.3,180,35,1,
155,창원,2021-11-28 15:00,13.7,,2.1,90,34,.9,
155,창원,2021-11-28 16:00,12.5,,.7,200,37,1,
155,창원,2021-11-28 17:00,10.6,,.5,250,41,.3,
155,창원,2021-11-28 18:00,9.3,,.4,0,47,0,
155,창원,2021-11-28 19:00,8.6,,.2,0,50,,
155,창원,2021-11-28 20:00,7.7,,0,0,63,,
155,창원,2021-11-28 21:00,7.3,,.1,0,61,,
155,창원,2021-11-28 22:00,6.7,,.4,0,68,,
155,창원,2021-11-28 23:00,6.5,,.8,360,66,,
155,창원,2021-11-29 00:00,5.7,,.6,270,71,,
155,창원,2021-11-29 01:00,5.7,,.6,340,67,,
155,창원,2021-11-29 02:00,5.5,,.9,340,66,,
155,창원,2021-11-29 03:00,4.8,,.7,340,70,,
155,창원,2021-11-29 04:00,3.9,,.4,0,74,,
155,창원,2021-11-29 05:00,4.1,,1.3,340,72,,
155,창원,2021-11-29 06:00,3.3,,.8,320,77,,
155,창원,2021-11-29 07:00,2.6,,1.1,340,76,,
155,창원,2021-11-29 08:00,3.3,,.5,290,74,.6,
155,창원,2021-11-29 09:00,5.4,,1.1,360,66,1,
155,창원,2021-11-29 10:00,7.7,,1.1,20,60,1,
